2019-07-01 09:30:00,582 -  Chartered_API.common.http_method - ERROR - UN-support method - [http_method.py:44 ]
2019-07-01 16:30:45,476 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:30:46,353 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-01 16:30:46,353 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '', 'toNumber': '', 'payType': '', 'amount': '', 'costType': '', 'name': '', 'payTime': ''} - [http_method.py:34 ]
2019-07-01 16:30:46,408 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-01 16:33:51,177 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/ykxcharter/orders - [http_method.py:32 ]
2019-07-01 16:33:51,178 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701029', 'customerName': '董九', 'startPlace': '陈家坪', 'endPlace': '万州', 'mapInfo': {'stationInfo': [{'lng': '106.578863', 'lat': '29.517916'}, {'lng': '106.580718', 'lat': '29.505948'}]}, 'phoneNumber': '15865379888', 'beginTime': '2019-07-01 17:33:51', 'endTime': '2019-07-02 03:33:51', 'duration': '600', 'numberofPassengers': '35', 'createTime': '2019-07-01 16:33:51', 'enterpriseCode': '222'} - [http_method.py:34 ]
2019-07-02 09:14:37,280 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:37,689 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701385', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '董五', 'payTime': '2019-07-02 09:14:37'} - [http_method.py:34 ]
2019-07-02 09:14:38,138 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:38,207 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:38,208 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '', 'toNumber': '20190701309', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '赵二', 'payTime': '2019-07-02 09:14:38'} - [http_method.py:34 ]
2019-07-02 09:14:38,275 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:38,287 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:38,288 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '3', 'toNumber': '20190701537', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '屈六', 'payTime': '2019-07-02 09:14:38'} - [http_method.py:34 ]
2019-07-02 09:14:38,366 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:38,385 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:38,385 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '张八', 'payTime': '2019-07-02 09:14:38'} - [http_method.py:34 ]
2019-07-02 09:14:38,466 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:38,480 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:38,481 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '订单号非数字', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '董二', 'payTime': '2019-07-02 09:14:38'} - [http_method.py:34 ]
2019-07-02 09:14:38,545 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:38,552 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:38,553 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701950', 'payType': '', 'amount': 500.5, 'costType': 1, 'name': '纪六', 'payTime': '2019-07-02 09:14:38'} - [http_method.py:34 ]
2019-07-02 09:14:38,633 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:38,643 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:38,644 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701489', 'payType': 8, 'amount': 500.5, 'costType': 1, 'name': '项三', 'payTime': '2019-07-02 09:14:38'} - [http_method.py:34 ]
2019-07-02 09:14:38,729 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:38,740 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:38,741 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701940', 'payType': '现金', 'amount': 500.5, 'costType': 1, 'name': '金七', 'payTime': '2019-07-02 09:14:38'} - [http_method.py:34 ]
2019-07-02 09:14:38,757 -  Chartered_API.common.http_method - DEBUG - 请求response:<html><head><title>Apache Tomcat/7.0.82 - Error report</title><style><!--H1 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:22px;} H2 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:16px;} H3 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:14px;} BODY {font-family:Tahoma,Arial,sans-serif;color:black;background-color:white;} B {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;} P {font-family:Tahoma,Arial,sans-serif;background:white;color:black;font-size:12px;}A {color : black;}A.name {color : black;}HR {color : #525D76;}--></style> </head><body><h1>HTTP Status 400 - </h1><HR size="1" noshade="noshade"><p><b>type</b> Status report</p><p><b>message</b> <u></u></p><p><b>description</b> <u>The request sent by the client was syntactically incorrect.</u></p><HR size="1" noshade="noshade"><h3>Apache Tomcat/7.0.82</h3></body></html> - [http_method.py:47 ]
2019-07-02 09:14:38,765 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:38,766 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701536', 'payType': 1, 'amount': '', 'costType': 1, 'name': '张八', 'payTime': '2019-07-02 09:14:38'} - [http_method.py:34 ]
2019-07-02 09:14:38,830 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:38,838 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:38,838 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701017', 'payType': 1, 'amount': '伍佰元', 'costType': 1, 'name': '王七', 'payTime': '2019-07-02 09:14:38'} - [http_method.py:34 ]
2019-07-02 09:14:38,850 -  Chartered_API.common.http_method - DEBUG - 请求response:<html><head><title>Apache Tomcat/7.0.82 - Error report</title><style><!--H1 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:22px;} H2 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:16px;} H3 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:14px;} BODY {font-family:Tahoma,Arial,sans-serif;color:black;background-color:white;} B {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;} P {font-family:Tahoma,Arial,sans-serif;background:white;color:black;font-size:12px;}A {color : black;}A.name {color : black;}HR {color : #525D76;}--></style> </head><body><h1>HTTP Status 400 - </h1><HR size="1" noshade="noshade"><p><b>type</b> Status report</p><p><b>message</b> <u></u></p><p><b>description</b> <u>The request sent by the client was syntactically incorrect.</u></p><HR size="1" noshade="noshade"><h3>Apache Tomcat/7.0.82</h3></body></html> - [http_method.py:47 ]
2019-07-02 09:14:38,853 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:38,853 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701750', 'payType': 1, 'amount': '500.555', 'costType': 1, 'name': '屈七', 'payTime': '2019-07-02 09:14:38'} - [http_method.py:34 ]
2019-07-02 09:14:38,916 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:38,928 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:38,929 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701082', 'payType': 1, 'amount': 500.5, 'costType': '', 'name': '张三', 'payTime': '2019-07-02 09:14:38'} - [http_method.py:34 ]
2019-07-02 09:14:38,986 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:39,004 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:39,004 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701187', 'payType': 1, 'amount': 500.5, 'costType': 3, 'name': '梁二', 'payTime': '2019-07-02 09:14:39'} - [http_method.py:34 ]
2019-07-02 09:14:39,098 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:39,107 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:39,108 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701163', 'payType': 1, 'amount': 500.5, 'costType': '定金', 'name': '李二', 'payTime': '2019-07-02 09:14:39'} - [http_method.py:34 ]
2019-07-02 09:14:39,133 -  Chartered_API.common.http_method - DEBUG - 请求response:<html><head><title>Apache Tomcat/7.0.82 - Error report</title><style><!--H1 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:22px;} H2 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:16px;} H3 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:14px;} BODY {font-family:Tahoma,Arial,sans-serif;color:black;background-color:white;} B {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;} P {font-family:Tahoma,Arial,sans-serif;background:white;color:black;font-size:12px;}A {color : black;}A.name {color : black;}HR {color : #525D76;}--></style> </head><body><h1>HTTP Status 400 - </h1><HR size="1" noshade="noshade"><p><b>type</b> Status report</p><p><b>message</b> <u></u></p><p><b>description</b> <u>The request sent by the client was syntactically incorrect.</u></p><HR size="1" noshade="noshade"><h3>Apache Tomcat/7.0.82</h3></body></html> - [http_method.py:47 ]
2019-07-02 09:14:39,137 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:39,137 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701412', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '', 'payTime': '2019-07-02 09:14:39'} - [http_method.py:34 ]
2019-07-02 09:14:39,199 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:39,208 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:39,209 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701621', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': 'tester', 'payTime': '2019-07-02 09:14:39'} - [http_method.py:34 ]
2019-07-02 09:14:39,271 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:39,278 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:39,279 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701261', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': 31, 'payTime': '2019-07-02 09:14:39'} - [http_method.py:34 ]
2019-07-02 09:14:39,343 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:39,365 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:39,365 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701516', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '%&张$', 'payTime': '2019-07-02 09:14:39'} - [http_method.py:34 ]
2019-07-02 09:14:39,421 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:39,450 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:39,451 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701480', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '项六', 'payTime': ''} - [http_method.py:34 ]
2019-07-02 09:14:39,507 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:39,516 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:39,517 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701906', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '祝七', 'payTime': '2019-06-05'} - [http_method.py:34 ]
2019-07-02 09:14:39,529 -  Chartered_API.common.http_method - DEBUG - 请求response:<html><head><title>Apache Tomcat/7.0.82 - Error report</title><style><!--H1 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:22px;} H2 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:16px;} H3 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:14px;} BODY {font-family:Tahoma,Arial,sans-serif;color:black;background-color:white;} B {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;} P {font-family:Tahoma,Arial,sans-serif;background:white;color:black;font-size:12px;}A {color : black;}A.name {color : black;}HR {color : #525D76;}--></style> </head><body><h1>HTTP Status 400 - </h1><HR size="1" noshade="noshade"><p><b>type</b> Status report</p><p><b>message</b> <u></u></p><p><b>description</b> <u>The request sent by the client was syntactically incorrect.</u></p><HR size="1" noshade="noshade"><h3>Apache Tomcat/7.0.82</h3></body></html> - [http_method.py:47 ]
2019-07-02 09:14:39,532 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:39,533 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701185', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '董二', 'payTime': '0000-00-00 00:00:00'} - [http_method.py:34 ]
2019-07-02 09:14:39,624 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:39,636 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:39,637 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701721', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '李八', 'payTime': '2019年6月30日'} - [http_method.py:34 ]
2019-07-02 09:14:39,651 -  Chartered_API.common.http_method - DEBUG - 请求response:<html><head><title>Apache Tomcat/7.0.82 - Error report</title><style><!--H1 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:22px;} H2 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:16px;} H3 {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;font-size:14px;} BODY {font-family:Tahoma,Arial,sans-serif;color:black;background-color:white;} B {font-family:Tahoma,Arial,sans-serif;color:white;background-color:#525D76;} P {font-family:Tahoma,Arial,sans-serif;background:white;color:black;font-size:12px;}A {color : black;}A.name {color : black;}HR {color : #525D76;}--></style> </head><body><h1>HTTP Status 400 - </h1><HR size="1" noshade="noshade"><p><b>type</b> Status report</p><p><b>message</b> <u></u></p><p><b>description</b> <u>The request sent by the client was syntactically incorrect.</u></p><HR size="1" noshade="noshade"><h3>Apache Tomcat/7.0.82</h3></body></html> - [http_method.py:47 ]
2019-07-02 09:14:39,654 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:39,654 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '', 'toNumber': '', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '金四', 'payTime': '2019-07-02 09:14:39'} - [http_method.py:34 ]
2019-07-02 09:14:39,701 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:39,708 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:39,708 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '', 'toNumber': '20190701856', 'payType': '', 'amount': 500.5, 'costType': 1, 'name': '梁八', 'payTime': '2019-07-02 09:14:39'} - [http_method.py:34 ]
2019-07-02 09:14:39,763 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:39,771 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:39,772 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '', 'toNumber': '20190701786', 'payType': 1, 'amount': '', 'costType': 1, 'name': '项六', 'payTime': '2019-07-02 09:14:39'} - [http_method.py:34 ]
2019-07-02 09:14:39,829 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:39,841 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:39,842 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '', 'toNumber': '20190701180', 'payType': 1, 'amount': 500.5, 'costType': '', 'name': '熊六', 'payTime': '2019-07-02 09:14:39'} - [http_method.py:34 ]
2019-07-02 09:14:39,901 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:39,917 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:39,919 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '', 'toNumber': '20190701985', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '', 'payTime': '2019-07-02 09:14:39'} - [http_method.py:34 ]
2019-07-02 09:14:39,989 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:39,996 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:39,996 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '', 'toNumber': '20190701602', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '张六', 'payTime': ''} - [http_method.py:34 ]
2019-07-02 09:14:40,052 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:40,066 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:40,067 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '', 'payType': '', 'amount': 500.5, 'costType': 1, 'name': '张九', 'payTime': '2019-07-02 09:14:40'} - [http_method.py:34 ]
2019-07-02 09:14:40,119 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:40,130 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:40,131 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '', 'payType': 1, 'amount': '', 'costType': 1, 'name': '董九', 'payTime': '2019-07-02 09:14:40'} - [http_method.py:34 ]
2019-07-02 09:14:40,182 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:40,191 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:40,191 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '', 'payTime': '2019-07-02 09:14:40'} - [http_method.py:34 ]
2019-07-02 09:14:40,252 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:40,258 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:40,258 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '', 'payType': 1, 'amount': 500.5, 'costType': 1, 'name': '王七', 'payTime': ''} - [http_method.py:34 ]
2019-07-02 09:14:40,305 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:40,316 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:40,316 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '', 'payType': '', 'amount': 500.5, 'costType': 1, 'name': '熊二', 'payTime': '2019-07-02 09:14:40'} - [http_method.py:34 ]
2019-07-02 09:14:40,371 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:40,378 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:40,378 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701457', 'payType': '', 'amount': 500.5, 'costType': 1, 'name': '张三', 'payTime': '2019-07-02 09:14:40'} - [http_method.py:34 ]
2019-07-02 09:14:40,438 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:40,444 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:40,444 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701608', 'payType': '', 'amount': 500.5, 'costType': '', 'name': '王九', 'payTime': '2019-07-02 09:14:40'} - [http_method.py:34 ]
2019-07-02 09:14:40,508 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:40,516 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:40,516 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701987', 'payType': '', 'amount': 500.5, 'costType': 1, 'name': '', 'payTime': '2019-07-02 09:14:40'} - [http_method.py:34 ]
2019-07-02 09:14:40,572 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:40,584 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:40,584 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701684', 'payType': '', 'amount': 500.5, 'costType': 1, 'name': '赵二', 'payTime': ''} - [http_method.py:34 ]
2019-07-02 09:14:40,650 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:40,655 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:40,656 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701193', 'payType': 1, 'amount': '', 'costType': 1, 'name': '王六', 'payTime': '2019-07-02 09:14:40'} - [http_method.py:34 ]
2019-07-02 09:14:40,715 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:40,733 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:40,733 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701163', 'payType': 1, 'amount': '', 'costType': 1, 'name': '', 'payTime': '2019-07-02 09:14:40'} - [http_method.py:34 ]
2019-07-02 09:14:40,780 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
2019-07-02 09:14:40,790 -  Chartered_API.common.http_method - DEBUG - 请求url:http://192.9.201.103:8080/innosill/esb/charter/order/ykxEarnestMoney - [http_method.py:32 ]
2019-07-02 09:14:40,791 -  Chartered_API.common.http_method - DEBUG - 请求json:{'source': '1', 'toNumber': '20190701987', 'payType': 1, 'amount': '', 'costType': 1, 'name': '屈三', 'payTime': ''} - [http_method.py:34 ]
2019-07-02 09:14:40,844 -  Chartered_API.common.http_method - DEBUG - 请求response:{"success":true} - [http_method.py:47 ]
